agency_code,fiscal_year,total_budgetary_resources,obligations_incurred,outlays,agency_name
310,2023,,,,Access Board
302,2023,,,,Administrative Conference of the U.S.
306,2023,,,,Advisory Council on Historic Preservation
166,2023,,,,African Development Foundation
072,2023,,,,Agency for International Development
074,2023,,,,American Battle Monuments Commission
309,2023,,,,Appalachian Regional Commission
084,2023,,,,Armed Forces Retirement Home
313,2023,,,,Barry Goldwater Scholarship and Excellence In Education Foundation
321,2023,,,,Commission for the Preservation of America's Heritage Abroad
323,2023,,,,Commission of Fine Arts
326,2023,,,,Commission on Civil Rights
338,2023,,,,Committee for Purchase from People Who Are Blind or Severely Disabled
339,2023,,,,Commodity Futures Trading Commission
581,2023,,,,Consumer Financial Protection Bureau
061,2023,,,,Consumer Product Safety Commission
485,2023,,,,Corporation for National and Community Service
096,2023,,,,Corps of Engineers - Civil Works
542,2023,,,,Council of the Inspectors General on Integrity and Efficiency
9553,2023,,,,Court Services and Offender Supervision Agency
347,2023,,,,Defense Nuclear Facilities Safety Board
517,2023,,,,Delta Regional Authority
513,2023,,,,Denali Commission
012,2023,,,,Department of Agriculture
013,2023,,,,Department of Commerce
097,2023,,,,Department of Defense
091,2023,,,,Department of Education
089,2023,,,,Department of Energy
075,2023,,,,Department of Health and Human Services
070,2023,,,,Department of Homeland Security
086,2023,,,,Department of Housing and Urban Development
015,2023,,,,Department of Justice
1601,2023,,,,Department of Labor
019,2023,,,,Department of State
069,2023,,,,Department of Transportation
036,2023,,,,Department of Veterans Affairs
014,2023,,,,Department of the Interior
020,2023,,,,Department of the Treasury
349,2023,,,,District of Columbia Courts
525,2023,,,,Election Assistance Commission
068,2023,,,,Environmental Protection Agency
045,2023,,,,Equal Employment Opportunity Commission
1100,2023,,,,Executive Office of the President
083,2023,,,,Export-Import Bank of the United States
7802,2023,,,,Farm Credit System Insurance Corporation
027,2023,,,,Federal Communications Commission
051,2023,,,,Federal Deposit Insurance Corporation
360,2023,,,,Federal Election Commission
362,2023,,,,Federal Financial Institutions Examination Council
054,2023,,,,Federal Labor Relations Authority
065,2023,,,,Federal Maritime Commission
093,2023,,,,Federal Mediation and Conciliation Service
368,2023,,,,Federal Mine Safety and Health Review Commission
473,2023,,,,Federal Permitting Improvement Steering Council
029,2023,,,,Federal Trade Commission
047,2023,,,,General Services Administration
005,2023,,,,Government Accountability Office
471,2023,,,,Gulf Coast Ecosystem Restoration Council
372,2023,,,,Harry S Truman Scholarship Foundation
474,2023,,,,Institute of Museum and Library Services
164,2023,,,,Inter-American Foundation
034,2023,,,,International Trade Commission
381,2023,,,,James Madison Memorial Fellowship Foundation
382,2023,,,,Japan-United States Friendship Commission
3301,2023,,,,John F. Kennedy Center for the Performing Arts
387,2023,,,,Marine Mammal Commission
389,2023,,,,Merit Systems Protection Board
524,2023,,,,Millennium Challenge Corporation
487,2023,,,,Morris K. Udall and Stewart L. Udall Foundation
080,2023,,,,National Aeronautics and Space Administration
088,2023,,,,National Archives and Records Administration
394,2023,,,,National Capital Planning Commission
413,2023,,,,National Council on Disability
025,2023,,,,National Credit Union Administration
417,2023,,,,National Endowment for the Arts
418,2023,,,,National Endowment for the Humanities
420,2023,,,,National Labor Relations Board
421,2023,,,,National Mediation Board
049,2023,,,,National Science Foundation
424,2023,,,,National Transportation Safety Board
573,2023,,,,Northern Border Regional Commission
031,2023,,,,Nuclear Regulatory Commission
431,2023,,,,Nuclear Waste Technical Review Board
432,2023,,,,Occupational Safety and Health Review Commission
434,2023,,,,Office of Government Ethics
435,2023,,,,Office of Navajo and Hopi Indian Relocation
024,2023,,,,Office of Personnel Management
062,2023,,,,Office of Special Counsel
071,2023,,,,Overseas Private Investment Corporation
579,2023,,,,Patient-Centered Outcomes Research Trust Fund
1125,2023,,,,Peace Corps
1602,2023,,,,Pension Benefit Guaranty Corporation
512,2023,,,,Presidio Trust
535,2023,,,,Privacy and Civil Liberties Oversight Board
290,2023,,,,Public Buildings Reform Board
060,2023,,,,Railroad Retirement Board
050,2023,,,,Securities and Exchange Commission
090,2023,,,,Selective Service System
073,2023,,,,Small Business Administration
028,2023,,,,Social Security Administration
472,2023,,,,Surface Transportation Board
514,2023,,,,U.S. Agency for Global Media
376,2023,,,,U.S. Interagency Council on Homelessness
077,2023,,,,U.S. International Development Finance Corporation
510,2023,,,,United States Chemical Safety Board
345,2023,,,,United States Court of Appeals for Veterans Claims
1133,2023,,,,United States Trade and Development Agency
519,2023,,,,Vietnam Education Foundation
